Group,Clade,Order,Taxa,Taxonomic_rank,Era,Early_Period,Early_Epoch,Early_Stage,Late_Period,Late_Epoch,Late_Stage,Age_ref,Max_size_m,Size_type,Size_ref,Distribution,Guild,Vertical,Habitat,Ecology_notes,Ecology_ref,Extinction,Extinction_ref,Notes,Enterer,Age_check
Mammal,Carnivora,Carnivora,Oriensarctos,genus,Cenozoic,Neogene,Pleistocene,Pleistocene,Neogene,Pleistocene,Pleistocene,Mitchell 1968 Journal of the Fisheries Research Board of Canada,3.00,TL,Pimiento et al. 2017 Nature Ecology & Evolution,Asia,Macropredator,Benthopelagic,Coastal,mesopredator/benthopelagic,Pimiento et al. 2017 Nature Ecology & Evolution,,,Otariidae,MG,
Mammal,Cetacea,Cetacea,Orycterocetus,genus,Cenozoic,Neogene,Miocene,Lower Miocene,Neogene,Pliocene,Pliocene,Shattuck 1904Maryland Geological Survey Miocene Text xxxiii-clv; Kohno & Ray 2008 Virginia Museum of Natural History Special Publication,6.00,TL,Pimiento et al. 2017 Nature Ecology & Evolution,North America; Europe,Macropredator,Pelagic,Oceanic,"mesopredator, pelagic, oceanic",Pimiento et al. 2017 Nature Ecology & Evolution,pliocene extinction,Pimiento et al. 2017 Nature Ecology & Evolution,"approx. 15 Ma, Body mass 422569.4 (oryctero crocodilinus), Marino et al. 2004",MG,
Mammal,Desmostylia,Desmostylia,Paleoparadoxia,genus,Cenozoic,Neogene,Miocene,Lower Miocene,Neogene,Miocene,Upper Miocene,"K. Matsui and S. Kawabe. 2015. ￼The Oldest Record of Paleoparadoxia from the Northwest Pacific with an Implication on the Early Evolution of Paleoparadoxiinae (Mammalia: Desmostylia). Paleontological Research19(3):251-265; T. Kimura and Y. Hasegawa. 2019. A new species of Kentriodon (Cetacea, Odontoceti, Kentriodontidae) from the Miocene of Japan. Journal of Vertebrate Paleontology 1-93",3.03,TL,Hayashi et al. 2013 Plos,North America; Asia,Herbivore,Benthic,Coastal,amphibious herbivore; foraging on aquatic vegetation,Domning et al. 1987,"replaced my Sirenians during late Miocene, competition for food ",Berta et al. 2020 Palaeontologia Electronica,one of the largest desmotylian,CS,
Mammal,Cetacea,Cetacea,Parabalaenoptera,genus,Cenozoic,Neogene,Miocene,Upper Miocene,Neogene,Miocene,Upper Miocene,Zeigler et al. 1997 Proceedings of the California Academy of Sciences,8.85,TL,Pyenson & Sponberg 2011 Journal of Mammal Evolution,North America,,,,,,,,"species: bauliensis, size prediction based on bauliensis, maximum bound of prediction interval is 11,46m",GH,
Mammal,Cetacea,Cetacea,Parapontoporia,genus,Cenozoic,Neogene,Miocene,Upper Miocene,Neogene,Pleistocene,Pleistocene,Barnes 1985 Contributions in Science; Boessenecker & Poust 2015 ,3.00,TL,Pimiento et al. 2017 Nature Ecology & Evolution,North America; Asia,Macropredator,Benthic,Coastal,"mesopredator, benthic, coastal",Pimiento et al. 2017 Nature Ecology & Evolution,winner of pliocene extinction,Pimiento et al. 2017 Nature Ecology & Evolution,,MG,
Mammal,Cetacea,Cetacea,Pelocetus,genus,Cenozoic,Neogene,Miocene,Lower Miocene,Neogene,Miocene,Upper Miocene,"Kimura & Hasegawa 2004 Bulletin of the Gunma Museum of Natural History ; Ginsburg, et al. 1979 Compte Rendu Sommaire des Seances de la Societe Geologique de France",11.80,TL,Bisconti et al. 2021 Biological Journal of the Linnean Society,Asia; North America; South America; Europe,,,,,,,,species: calvertensis and mirabilis,GH,
Mammal,Sirenia,Sirenia,Pezosiren portelli,species,Cenozoic,Paleogene,Eocene,Lutetian,Paleogene,Eocene,Lutetian,Domning et al. 1997,2.10,TL,Domning 2001,North America,Herbivore,,,herbivore,Velez-Juarbe et al. 2012 Plos One,,,,SK,
Mammal,Cetacea,Cetacea,Physeterula,genus,Cenozoic,Paleogene,Oligocene,Chattian,Neogene,Pleistocene,Pleistocene,Pilleri 1986 Investigations on Cetacea; Boessenecker et al. 2017 Society of Vertebrate Paleontology Program and Abstracts,6.00,TL,Pimiento et al. 2017 Nature Ecology & Evolution,North America; Europe; Asia,Macropredator,Pelagic,Oceanic,"mesopredator, pelagic, oceanic",Pimiento et al. 2017 Nature Ecology & Evolution,winner of pliocene extinction,Pimiento et al. 2017 Nature Ecology & Evolution,,MG,
Mammal,Cetacea,Cetacea,Piscobalaena,genus,Cenozoic,Neogene,Miocene,Middle Miocene,Neogene,Miocene ,Upper Miocene,"Esperante 2008 Palaeogeography, Palaeoclimatology, Palaeoecology; Muizon 1983 Comptes Rendus de l'Academie des Sciences Paris Serie II",NA,,,North America; South America,Multi,,,bulk filter-feeding (baleen apparatus) but also unusual mandibular morphology suggesting contiunous suction feeding,Marx et al. 2017 Journal of Anatomy,,,Esin: No max. body size (length) found,MG,
Mammal,Carnivora,Carnivora,Pithanotaria starri,species,Cenozoic,Neogene,Miocene,Upper Miocene,Neogene,Miocene,Upper Miocene,"J. F. Parham, J. A. Barron, and J. Velez-Juarbe. 2022. Middle and late Miocene marine mammal assemblages from the Monterey Formation of Orange County, California. Geological Society of America Special Paper 556 ;  R. Kellogg. 1925. New pinnipeds from the Miocene diatomaceous earth near Lompoc, California. Contributions to Palaeontology from the Carnegie Institution of Washington 348:71-95",1.20,TL,M.Churchill et al. 2014 Evolution,North America,,,,,,,,"Otariidae, considered a stem otariid ; Berta & Churchill et al.2018",CS,
Mammal,Cetacea,Cetacea,Plesiobalaenoptera,genus,Cenozoic,Neogene,Miocene,Upper Miocene,Neogene,Pliocene,Pliocene,Marasti 1973 Bollettino della Societa Paleontologica Italiana; Govender 2021Historical Biology ,9.00,TL,Pimiento et al. 2017 Nature Ecology & Evolution,Africa; Europe,Micropredator,Pelagic,Coastal/Oceanic,"micropredator, pelagic, coastal/oceanic; Mandibular morphology suggests that the feeding behavior of P. quarantellii was very similar to the intermittent ram feeding of living balaenopterids, but in this fossil taxon the adduction of the dentary was assisted by the muscles more actively than in modern Balaenopteridae.",Pimiento et al. 2017 Nature Ecology & Evolution; Bisconti 2010 Journal of Vertebrate Paleontology,winner of pliocene extinction,Pimiento et al. 2017 Nature Ecology & Evolution,species: quarantellii,MG,
Mammal,Carnivora,Carnivora,Pliopedia,genus,Cenozoic,Neogene,Pliocene,Pliocene,Neogene,Pliocene,Pliocene,C. A. Repenning and R. H. Tedford. 1977. Otarioid seals of the Neogene. United States Geological Survey Professional Paper 992:1-93,3.00,TL,Pimiento et al. 2017 Nature Ecology & Evolution,North America,Macropredator,Benthic,Coastal,mesopredator/benthic,Pimiento et al. 2017 Nature Ecology & Evolution,pliocene extinction,Pimiento et al. 2017 Nature Ecology & Evolution,"Odobenidae, species: P.pacifica",CS,
Mammal,Carnivora,Carnivora,Pliophoca,genus,Cenozoic,Neogene,Pliocene,Pliocene,Neogene,Pliocene,Pliocene,Augusti et al. 1983 Acta Geologica Hispanica; Mendez et al. 2000 Batalleria,3.00,TL,Pimiento et al. 2017 Nature Ecology & Evolution,Europe; Africa,Macropredator,Benthopelagic,Coastal,mesopredator/benthopelagic,Pimiento et al. 2017 Nature Ecology & Evolution,pliocene extinction,Pimiento et al. 2017 Nature Ecology & Evolution,Phocidae ,MG,
Mammal,Cetacea,Cetacea,Pliopontos,genus,Cenozoic,Neogene,Miocene,Upper Miocene,Neogene,Pliocene,Pliocene,Gutstein et al. 2009 Journal of Mammalogy; Whitmore 1987 Neogene Paleontology and Geology of Sahabi ,3.00,TL,Pimiento et al. 2017 Nature Ecology & Evolution,North America; South America,Macropredator,Benthic,Coastal,"mesopredator, benthic, coastal",Pimiento et al. 2017 Nature Ecology & Evolution,pliocene extinction,Pimiento et al. 2017 Nature Ecology & Evolution,,MG,
Mammal,Carnivora,Carnivora,Pontolis magnus,species,Cenozoic,Neogene,Miocene,Upper Miocene,Neogene,Miocene,Upper Miocene,"J. N. Biewer, J. Velez-Juarbe, and J. F. Parham. 2020. Insights on the dental evolution of walruses based on new fossil specimens from California. Journal of Vertebrate Paleontology e1833896",6.00,TL,Berta & Churchill et al.2018,North America,,,,,,,,"Odobenidae , Tortonian; 8.5–7.7 Ma",CS,
Mammal,Cetacea,Cetacea,Prosqualodon,genus,Cenozoic,Paleogene,Oligocene,Chattian,Neogene,Miocene,Middle Miocene,Darragh & Kendrick 2000 Proceedings of the Royal Society of Victoria ; Benham 1935 Transactions of the Royal Society of New Zealand,3.06,TL,Pyenson & Sponberg 2011 Journal of Mammal Evolution,Australia; South America,,,,,,,,"species: davidis, size prediction based on davidis, maximum bound of prediction interval is 4.86m",GH,
Mammal,Carnivora,Carnivora,Proterozetes,genus,Cenozoic,Neogene,Pleistocene,Pleistocene,Neogene,Pleistocene,Pleistocene,Barnes & Mitchell 1975 Rapports et Proces-verbaux des Reunions; Poust & Boessenecker 2017 Journal of Vertebrate Paleontology ,6.00,TL,Pimiento et al. 2017 Nature Ecology & Evolution,North America,Macropredator,Benthopelagic,Coastal,mesopredator/benthopelagic,Pimiento et al. 2017 Nature Ecology & Evolution,,,Otariidae,MG,
Mammal,Carnivora,Carnivora,Protodobenus japonicus,species,Cenozoic,Neogene,Pliocene,Pliocene,Neogene,Pliocene,Pliocene,"H. Horikawa, L. G. Barnes, S. Miyazaki and S. Kobayashi. 1992. A primitive odobenine walrus from Pliocene deposits of Japan. International Geological Congress",1.70,TL,Velez-Juarbé et al. 2018 Royal Society ; M.Churchill et al. 2014 Evolution,Asia,Macropredator,Benthic,Coastal,mesopredator/benthic,Pimiento et al. 2017 Nature Ecology & Evolution,pliocene extinction,Pimiento et al. 2017 Nature Ecology & Evolution,"Odobenidae, Found only in Japan ",CS,
Mammal,Cetacea,Cetacea,Protoglobicephala,genus,Cenozoic,Neogene,Pliocene,Pliocene,Neogene,Pliocene,Pliocene,Aguirre-Fernández et al. 2009 Boletin de la Sociedad Geologica Mexicana 61(2),3.00,TL,Pimiento et al. 2017,North America,Macropredator,Pelagic,Coastal/Oceanic,"mesopredator, pelagic, coastal/oceanic",Pimiento et al. 2017,pliocene extinction,Pimiento et al. 2017 Nature Ecology & Evolution,size estimate from Protoglobicephala mexicana as it is the only known species?,SK,
Mammal,Sirenia,Sirenia,Protosiren fraasi,species,Cenozoic,Paleogene,Eocene,Lutetian,Paleogene,Eocene,Lutetian,Diedrich 2011 Natural Science 3(11),3.09,TL,Sarko et al. 2010,Europe; Africa,Herbivore,,,herbivore,Velez-Juarbe et al. 2012 Plos One,,,estimated of body length based on regression analyses,SK,
Mammal,Carnivora,Carnivora,Prototaria ,genus,Cenozoic,Neogene,Miocene,Middle Miocene,Neogene,Miocene,Middle Miocene,"N. Kohno. 1994. A new miocene pinniped in the genus Prototaria (Carnivora: Odobenidae) from the Moniwa Formation, Miyagi, Japan. Journal of Vertebrate Paleontology 14(3):414-426",2.10,TL,Velez-Juarbé et al. 2018 Royal Society,Asia,Macropredator,,,piscivorous,Kohno et al. 1994 Island Arc Volume 3 Issue 4,,,"Odobenidae, 2,1 based on P. primigenia , P.planicephala 2,0m",CS,
Mammal,Cetacea,Cetacea,Rodhocetus,genus,Cenozoic,Paleogene,Eocene,Lutetian,Paleogene,Eocene,Lutetian,Gingerich et al. 2001 Science,3.00,TL,Gingerich et al. 2015 Nature,Asia,Macropredator,Pelagic,Coastal,"lived much like sea lions do today, feeding in the sea but still coming onto land to breed and give birth; semiaquatic, was able to move on land",http://www-personal.umich.edu/~gingeric/PDFfiles/PDG387_Whalesgeoscinews.pdf; Pyenson 2017 Current Biology; PBDB,,,"47-million-year-old; belongs to protocetids, first with global distribution",MG,
Mammal,Cetacea,Cetacea,Salishicetus meadi,species,Cenozoic,Paleogene,Oligocene,Chattian,Paleogene,Oligocene,Chattian,Peredo & Pyenson 2018 Royal Society open science,3.09,TL,Peredo & Pyenson 2018 Royal Society open science,North America,Macropredator,,,"ancestral  feeding state for Aetiocetidae to be suction-assisted macrophagous raptorial feeding; processed prey using shearing cheek teeth in the same way as its stem cetacean ancestors (Mammalodontidae and Aetiocetidae), Salishicetus meadi ieach represent aetiocetidswith precise occlusion incompatible with the spacing needed for putative proto-baleen; a tight occlusion for shearing. Because this feeding morphology is   observed  in  more  basal  mysticetes,  and  in  three  distinct  genera  of  aetiocetids(Salishicetus,ChonecetusandFucaia),  we  consider  it  the  most  likely  ancestral  condition",Peredo & Pyenson 2018 Royal Society open science,,,"used the stem mysticete body size equation for bizygomatic width from Pyenson & Sponberg to estimated body length, belongs to Aetiocetidae family",GH,
Mammal,Cetacea,Cetacea,Semirostrum,genus,Cenozoic,Neogene,Miocene,Upper Miocene,Neogene,Pliocene,Pliocene,Whitmore & Barnes 2008 Virginia Museum of Natural History Special Publication; Racicot et al. 2014 Current Biology,3.00,TL,Pimiento et al. 2017 Nature Ecology & Evolution,North America,Macropredator,Benthopelagic,Coastal/Oceanic,"mesopredator, benthopelagic, coastal/oceanic",Pimiento et al. 2017 Nature Ecology & Evolution,pliocene extinction,Pimiento et al. 2017 Nature Ecology & Evolution,"Semirostrum ceruttii, from the marine Pliocene San Diego (4.2–1.6 mega-annum, Ma) and Purisima (5–2.5 Ma) formations of California",MG,
Mammal,Cetacea,Cetacea,Septemtriocetus,genus,Cenozoic,Neogene,Pliocene,Pliocene,Neogene,Pliocene,Pliocene,"Lambert 2007 Meeting of the European Association of Vertebrate Palaeontologists, Abstract Volume",3.00,TL,Pimiento et al. 2017 Nature Ecology & Evolution,Europe,Macropredator,Benthopelagic,Coastal/Oceanic,"mesopredator, benthopelagic, coastal/oceanic",Pimiento et al. 2017 Nature Ecology & Evolution,pliocene extinction,Pimiento et al. 2017 Nature Ecology & Evolution,,MG,
Mammal,Cetacea,Cetacea,Septidelphis,genus,Cenozoic,Neogene,Pliocene,Pliocene,Neogene,Pliocene,Pliocene,Mori 1980 Rivista Piemontesa di Storia Naturale 1,3.00,TL,Pimiento et al. 2017,Europe,Macropredator,Benthopelagic,Coastal,mesopredator,Pimiento et al. 2017,pliocene extinction,Pimiento et al. 2017 Nature Ecology & Evolution,Mori 1980 only in Italian,SK,
Mammal,Cetacea,Cetacea,Simocetus,genus,Cenozoic,Paleogene,Oligocene,Rupelian,Paleogene,Oligocene,Rupelian,Fordyce 2002 Smithsonian Contributions to Paleobiology,2.41,TL,Pyenson & Sponberg 2011 Journal of Mammal Evolution,North America,Macropredator,Benthic,,a bottom feeder that preyed through suction feeding on soft-bodied invertebrates,"RE Fordyce - Smithsonian Contributions to Paleobiology, 2002 - repository.si.edu",,,"species Simocetus rayi, PLS multivariate regression equations, max. predicted length 4.45m",MG,
Mammal,Cetacea,Cetacea,Squalodon,genus,Cenozoic,Paleogene,Oligocene,Chattian,Neogene,Miocene,Upper Miocene,Okazaki 1988 Bulletin of the Kitakyusu Museum of Natural History; Carone & Domning 2007 Bollettino della Societa Paleontologica Italiana,2.70,TL,Pyenson & Sponberg 2011 Journal of Mammal Evolution,North America; Europe; Asia; South America,Macropredator,,,macrophagous predator,Boessenecker 2020 Current Biology,,,"species Squalodon bellunensis, PLS multivariate regression equations, max. predicted length 4.29m",MG,
Mammal,Carnivora,Carnivora,Thalassocnus ,genus,Cenozoic,Neogene,Miocene,Upper Miocene,Neogene,Pliocene,Pliocene,"C. Muizon and T. J. DeVries. 1985. Geology and paleontology of late Cenozoic marine deposits in the Sacaco area (Peru). Geologische Rundschau 74(3):547-563 ; S. De Los Arcos, D. Partarrieu, J. Carrillo-Briceño and E. Amson. 2017. The Southernmost Occurrence of the Aquatic Sloth Thalassocnus (Mammalia, Tardigrada) in Two New Pliocene Localities in Chile. Ameghiniana 54(4):351-369",3.30,TL,E.Amson et al. 2015 J Mammal Evol,South America,Multi,Benthopelagic,Coastal,omnivore,E.Amson et al. 2015 J Mammal Evol,pliocene extinction,Pimiento et al. 2017 Nature Ecology & Evolution,"Folivora, 3,3m based on T. yaucensis ( femur size as estimate), T. littoralis 2,1m ,  T.natan 2,5m ; early species partial grazers and later species specialized grazers",CS,
Mammal,Carnivora,Carnivora,Thalassoleon mexicanus,species,Cenozoic,Neogene,Miocene,Upper Miocene,Neogene,Pliocene,Pliocene,"L. G. Barnes. 1984. Fossil odontocetes (Mammalia: Cetacea) from the Almejas Formation, Isla Cedros, Mexico. PaleoBios 42:1-46 ; T. A. Deméré and A. Berta. 2005. New skeletal material of Thalassoleon (Otariidae: Pinnipedia) from the late Miocene-early Pliocene (Hemphillian) of California. Bulletin of the Florida Museum of Natural History 45(4):379-411",2.50,ML,M.Churchill et al. 2014 Evolution,North America; Asia,Macropredator,Benthopelagic,Coastal,mesopredator/benthopelagic,Pimiento et al. 2017 Nature Ecology & Evolution,pliocene extinction,Pimiento et al. 2017 Nature Ecology & Evolution,"Otariidae, Zanclean: 2,2m ML (mean length) , Messinian: 2,5m ML, Tortonian: 2,m3 ML  ,,, (295-318 kg but no total lenght, C.A.Repenning & R.H Tedford 1977)",CS,
Mammal,Cetacea,Cetacea,Tusciziphius,genus,Cenozoic,Neogene,Miocene,Lower Miocene,Neogene,Pliocene,Pliocene,Bianucci et al. 2013 Geodiversitas; Bianucci et al. 2016 PeerJ,6.00,TL,Pimiento et al. 2017 Nature Ecology & Evolution,North America; Europe,Macropredator,Pelagic,Oceanic,"mesopredator, pelagic, oceanic",Pimiento et al. 2017 Nature Ecology & Evolution,pliocene extinction,Pimiento et al. 2017 Nature Ecology & Evolution,"6.1–4.4 Ma Tusciziphius atlanticus, 4.12–3.84 Tusciziphius crispus",MG,
Mammal,Carnivora,Carnivora,Valenictus chulavistensis,species,Cenozoic,Neogene,Pliocene,Pliocene,Neogene,Pliocene,Pliocene,"T. A. Deméré. 1994. Two new species of fossil walruses (Pinnipedia: Odobenidae) from the Upper Pliocene San Diego Formation, California. Proceedings of the San Diego Society of Natural History 29:77-98 ; M.Churchill et al. 2014 Evolution",2.10,TL,Velez-Juarbé et al. 2018 Royal Society,North America,Macropredator,Benthic,Coastal,benthic ,"T. A. Deméré, 1994 - Two new species of fossil walruses (Pinnipedia: Odobenidae) from the Upper Pliocene San Diego Formation, California - Proceedings of the San Diego Society of Natural History (29), 77-98 (book/book chapter, English)",pliocene extinction,Pimiento et al. 2017 Nature Ecology & Evolution,"Odobenidae, tusked walrus",CS,
Mammal,Cetacea,Cetacea,Waharoa ruwhenua,species,Cenozoic,Paleogene,Oligocene,Chattian,Paleogene,Oligocene,Chattian,Boessenecker & Fordyce 2015 PeerJ,6.00,TL,Boessenecker & Fordyce 2015 PeerJ,Australia,Micropredator,,,"one of the earliest functionally edentulous mysticetes (members of Eomysticetidae);  rudimentary type of skim feeding reminiscent of extant right whales, absence of a functional adult dentition and the presence of baleen (interpreted from lateral nutrient foramina) and both rostral and mandibular kinesis indicate that eomysticetids were the earliest mysticetes capable of baleen-assisted bulk filter feeding.",Berta et al. 2016 Integrative and Comparative Biology,,,,GH,
Mammal,Cetacea,Cetacea,Waipatia,genus,Cenozoic,Paleogene,Oligocene,Rupelian,Paleogene,Oligocene,Rupelian,Boessenecker & Boessenecker 2019 Geological Society of America Field Guide,2.57,TL,Pyenson & Sponberg 2011 Journal of Mammal Evolution,North America; Australia,,,,,,,,"species Waipatia maerewhenua, PLS multivariate regression equations, max. predicted length 4.09m",MG,
Mammal,Cetacea,Cetacea,Xiphiacetus bossi,species,Cenozoic,Neogene,Miocene,Lower Miocene,Neogene,Miocene,Middle Miocene,Louwye et al. 2010 Geologica Belgica 13(3); Weems et al. 2017 The Geological Society of America Field Guide 47,3.50,TL,Montgomery et al. 2013 Evolution 67,North America; Europe,,,,,,,,,SK,
Mammal,Cetacea,Cetacea,Zarhinocetus,genus,Cenozoic,Neogene,Miocene,Lower Miocene,Neogene,Miocene,Middle Miocene,Kimura Barnes 2016 Bulletin of the Gunma Museum of Natural History; Mitchell 1966 University of California Publications in Geological Sciences,2.66,TL,Pyenson & Sponberg 2011 Journal of Mammal Evolution,North America,,,,,,,,"species Zarhinocetus errabundus, PLS multivariate regression equations, max. predicted length 4.24m",MG,
Mammal,Cetacea,Cetacea,Siphonocetus,genus,Cenozoic,Neogene,Miocene,Lower Miocene,Neogene,Pliocene,Pliocene,Fossilworks,9.00,TL,Pimiento et al. 2017,,Micropredator,Pelagic,Coastal/Oceanic,,,,,extinct; estimated based on formula for Mysticete mandible of Pyenson et al 2013 supplementary,,