Group,Clade,Class,Order,Taxa,Taxonomic_rank,Era,Early_Period,Early_Epoch,Early_Stage,Late_Period,Late_Epoch,Late_Stage,Age_ref,Max_size_m,Size_type,Size_ref,Distribution,Guild,Vertical,Habitat,Ecology_notes,Ecology_ref,Extinction,Extinction_ref,Notes,Enterer,Age_check
Reptile,Squamata,Reptilia,Squamata,Aigialosaurus dalmaticus,species,Mesozoic,Cretaceous,Upper Cretaceous,Cenomanian,Cretaceous,Upper Cretaceous,Cenomanian,"A. R. Dutchak and M. W. Caldwell. 2006. Redescription of Aigialosaurus dalmaticus Kramberger, 1892, a Cenomanian mosasauroid lizard from Hvar Island, Croatia. Canadian Journal of Earth Sciences 43:1821-1834",1.00,TL,Polcyn et al. 2014,Croatia,Macropredator,Pelagic,Oceanic,,"A. M. Bush and R. K. Bambach. 2015. Sustained Mesozoic-Cenozoic diversification of marine Metazoa: a consistent signal from the fossil record. GSA Data Repository 2015330; M. J. Benton. 1983. Dinosaur success in the Triassic: a noncompetitive ecological model. Quarterly Review of Biology 58(1):29-55; O. C. Marsh. 1875. On the Odontornithes, or birds with teeth. American Journal of Science 10:403-409",,,"based on jaw length, or indirect estimates of jaw length using other preserved portions of the skull and portions of the vertebral column were compared with other specimens of similar sizebelonging to the same subfamily or clade and measurements were approximated.",NS,
Reptile,Squamata,Reptilia,Squamata,Angolasaurus bocagei,species,Mesozoic,Cretaceous,Upper Cretaceous,Coniacian,Cretaceous,Upper Cretaceous,Coniacian,M. T. Antunes. 1964. O Neocretácico e o Cenozoico do litoral de Angola. Junta de Investigações do Ultramar 1-254,5.00,TL,Polcyn et al. 2014,Bengo Angola,Macropredator,Pelagic,Coastal,carnivore,"R. L. Carroll. 1988. Vertebrate Paleontology and Evolution 1-698; A. Hendy, M. Aberhan, J. Alroy, M. Clapham, W. Kiessling, A. Lin, and M. LaFlamme. 2009. Unpublished ecological data in support of GSA 2009 abstract: A 600 million year record of ecological diversification.; P. Gervais. 1852. Zoologie et Paléontologie Françaises (Animaux Vertébrés) ou Nouvelles Recherches sur les Animaux Vivants et Fossiles de la France [French Zoology and Paleontology (Vertebrate Animals) or New Research on the Living and Fossil Animals of France] 1–3:1-274+",,,"based on jaw length, or indirect estimates of jaw length using other preserved portions of the skull",NS,
Bird,Sphenisciformes,Aves,Sphenisciformes,Anthropodyptes gilli,species,Cenozoic,Paleogene,Miocene,Lower Miocene,Paleogene,Miocene,Lower Miocene,G. G. Simpson. 1959. A new fossil penguin from Australia. Proceedings of the Royal Society of Victoria 71(2):113-119,1.58,TL,Ksepka et al. 2010,Australia,Macropredator,Pelagic,Coastal,"carnivore / Enviroment: Marine, Life Habitat: Ground Dwelling","A. M. Bush and R. K. Bambach. 2015. Sustained Mesozoic-Cenozoic diversification of marine Metazoa: a consistent signal from the fossil record. GSA Data Repository 2015330; M. J. Benton. 1983. Dinosaur success in the Triassic: a noncompetitive ecological model. Quarterly Review of Biology 58(1):29-55; O. C. Marsh. 1875. On the Odontornithes, or birds with teeth. American Journal of Science 10:403-409",,,length was measured from the head to the distal edge of the ulnar condyle,TB,
Bird,Sphenisciformes,Aves,Sphenisciformes,Anthropornis,genus,Cenozoic,Paleogene,Eocene,Ypresian,Paleogene,Oligocene,Chattian,"M. S. Bargo and M. A. Reguero. 1998. Annotated catalogue of the fossil vertebrates from Antarctica housed in the Museo de la Plata, Argentina. I. Birds and Land Mammals from La Meseta Formation (Eocene - Early Oligocene). Associacion Paleontologica Argentina, Publicacion Especial 5:211-221, B. J. Marples. 1953. Fossil penguins form the mid-Tertiary of Seymour Island. Falkland Islands Dependence Survey Scientific Reports 5:1-15",2.05,BL,Jadwiszczak 2001,Antarctica,Macropredator,Pelagic,Coastal,"carnivore / Enviroment: Marine, Life Habitat: Ground Dwelling","A. M. Bush and R. K. Bambach. 2015. Sustained Mesozoic-Cenozoic diversification of marine Metazoa: a consistent signal from the fossil record. GSA Data Repository 2015330; M. J. Benton. 1983. Dinosaur success in the Triassic: a noncompetitive ecological model. Quarterly Review of Biology 58(1):29-55; O. C. Marsh. 1875. On the Odontornithes, or birds with teeth. American Journal of Science 10:403-408",,,Values for the bodylength were calculated by a regression method of the Model I in the paper Jadwiszczak 2001,TB,
Bird,Sphenisciformes,Aves ,Sphenisciformes,Anthropornis nordenskjoeldi,species,Cenozoic,Paleogene,Eocene,Lutetian,Paleogene,Eocene,Priabonian,"M. S. Bargo and M. A. Reguero. 1998. Annotated catalogue of the fossil vertebrates from Antarctica housed in the Museo de la Plata, Argentina. I. Birds and Land Mammals from La Meseta Formation (Eocene - Early Oligocene). Associacion Paleontologica Argentina, Publicacion Especial 5:211-221, M. S. Bargo and M. A. Reguero. 1998. Annotated catalogue of the fossil vertebrates from Antarctica housed in the Museo de la Plata, Argentina. I. Birds and Land Mammals from La Meseta Formation (Eocene - Early Oligocene). Associacion Paleontologica Argentina, Publicacion Especial 5:211-221",2.02,BL,Jadwiszczak 2001,Antarctica,Macropredator,Pelagic,Coastal,"carnivore / Enviroment: Marine, Life Habitat: Ground Dwelling","A. M. Bush and R. K. Bambach. 2015. Sustained Mesozoic-Cenozoic diversification of marine Metazoa: a consistent signal from the fossil record. GSA Data Repository 2015330; M. J. Benton. 1983. Dinosaur success in the Triassic: a noncompetitive ecological model. Quarterly Review of Biology 58(1):29-55; O. C. Marsh. 1875. On the Odontornithes, or birds with teeth. American Journal of Science 10:403-411",,,,TB,
Bird,Sphenisciformes,Aves ,Sphenisciformes,Archaeospheniscus wimani,species,Cenozoic,Paleogene,Eocene,Ypresian,Paleogene,Eocene,Priabonian,"M. S. Bargo and M. A. Reguero. 1998. Annotated catalogue of the fossil vertebrates from Antarctica housed in the Museo de la Plata, Argentina. I. Birds and Land Mammals from La Meseta Formation (Eocene - Early Oligocene). Associacion Paleontologica Argentina, Publicacion Especial 5:211-221, P. Jadwiszczak. 2008. An intriguing penguin bone from the Late Eocene of Seymour Island, Antarctic Peninsula. Antarctic Science 20(6):589-590",1.08,BL,Jadwiszczak 2001,Antarctica,Macropredator,Pelagic,Coastal,"carnivore / Enviroment: Marine, Life Habitat: Ground Dwelling","A. M. Bush and R. K. Bambach. 2015. Sustained Mesozoic-Cenozoic diversification of marine Metazoa: a consistent signal from the fossil record. GSA Data Repository 2015330; M. J. Benton. 1983. Dinosaur success in the Triassic: a noncompetitive ecological model. Quarterly Review of Biology 58(1):29-55; O. C. Marsh. 1875. On the Odontornithes, or birds with teeth. American Journal of Science 10:403-421",,,,TB,
Reptile,Testudines,Reptilia,Testudines,Archelon ischyros,species,Mesozoic,Cretaceous,Upper Cretaceous,Campanian,Cretaceous,Upper Cretaceous,Maastrichtian,Wieland 1896,3.50,TL,Wieland 1896,South Dakota USA,Macropredator,Benthic,Coastal,omnivore / Family Protostegidae eats shellfish,"A. Hendy, M. Aberhan, J. Alroy, M. Clapham, W. Kiessling, A. Lin, and M. LaFlamme. 2009. Unpublished ecological data in support of GSA 2009 abstract: A 600 million year record of ecological diversification.; A. M. Bush and R. K. Bambach. 2015. Sustained Mesozoic-Cenozoic diversification of marine Metazoa: a consistent signal from the fossil record. GSA Data Repository 2015330; P. Uetz. 2005. Order Testudines - turtles. The European Molecular Biology Laboratory Reptile Database; R. L. Carroll. 1988. Vertebrate Paleontology and Evolution 1-698",,,11 feet,NS,
Reptile,Plesiosauria,Reptilia,Plesiosauria,Aristonectes,genus,Mesozoic,Cretaceous,Upper Cretaceous,Campanian,Cretaceous,Upper Cretaceous,Maastrichtian,O'Gorman et al. 2013,11.86,BL,O'Gorman et al. 2019,Rio Negro Argentina; Seymour Island Antarctica; Puerto Natales Chile,Macropredator,Pelagic,Oceanic,"carnivore/ Environment: marine, Life habit: aquatic, Depth habitat: surface",W. Kiessling. 2004. Ecology opinions.,,,body length is estimated between 10.232 m * 2615 mm/2436.2 mm = 10.98 m and 10.232 m * 2825 mm/2436.2 mm = 11.86 m; diving depth surface,TB,
Reptile,Thalattosauria,Reptilia,Thalattosauria,Askeptosaurus italicus,species,Mesozoic,Triassic,Middle Triassic,Anisian,Triassic,Middle Triassic,Ladinian,"O. Rieppel. 1998. The status of the sauropterygian reptile genera Ceresiosaurus, Lariosaurus, and Silvestrosaurus from the Middle Triassic of Europe. Fieldiana: Geology, new series 38:1-46",2.50,TL,"Rieppel, 2019, Mesozoic Sea Dragons, Indiana University Press, Thalattosaurs, p.156-157","Besano Italy, Monte San Giorgio Switzerland",,,,Environment: marine,,,,Estimated from whole skeleton 1.8m,NS,
Reptile,Ichthyosauria,Reptilia,Ichthyosauria,Besanosaurus leptorhynchus,species,Mesozoic,Cretaceous,Middle Triassic,Anisian,Triassic,Middle Triassic,Ladinian,"Rieppel, 2019, Mesozoic Sea Dragons, Indiana University Press, Ichthyosaurs, p.98-106; P. M. Sander. 1988. A fossil reptile embryo from the Middle Triassic of the Alps. Science 329:780-782",5.50,TL,"Rieppel, 2019, Mesozoic Sea Dragons, Indiana University Press, Ichthyosaurs, p.98-106",Besano Italy; Switzerland,Macropredator,Pelagic,Coastal,carnivore / Vertical and Habitat based on Family Besanosaurus,W. Kiessling. 2004. Ecology opinions.,,,"female, whole skeleton",NS,
Reptile,Squamata,Reptilia,Squamata,Carinodens belgicus,species,Mesozoic,Cretaceous,Upper Cretaceous,Maastrichtian,Cretaceous,Upper Cretaceous,Maastrichtian,W. J. Kennedy. 1993. Campanian and Maastrichtian ammonites from the Mons Basin and adajcent areas (Belgium). Bulletin de L'Institute Royal des Sciences Naturelles de Belgique 63:99-131,2.50,TL,Polcyn et al. 2014,Belgium,Macropredator,Benthic,Coastal,"carnivore / Environment: terrestrial, Life habit: aquatic","Schulp, Anne S.; Jagt, John W. M.; Fonken, Frans (2004-09-10). ""New material of the mosasaur Carinodens belgicus from the Upper Cretaceous of the Netherlands"". Journal of Vertebrate Paleontology. 24 (3): 744–747. doi:10.1671/0272-4634(2004)024[0744:NMOTMC]2.0.CO;2",,,"based on jaw length, or indirect estimates of jaw length using other preserved portions of the skull",NS,
Reptile,Squamata,Reptilia,Squamata,Carinodens minalmamar,species,Mesozoic,Cretaceous,Upper Cretaceous,Maastrichtian,Cretaceous,Upper Cretaceous,Maastrichtian,"J. Milàn, J. W. M. Jagt, J. Lindgren and A. S. Schulp. 2018. First record of Carinodens (Squamata, Mosasauridae) from the uppermost Maastrichtian of Stevns Klint, Denmark. Alcheringa 42(4):597-602; H. Cappetta, N. Bardet, X. Pereda Suberbiola, S. Adnet, D. Akkrim, M. Amalik, and A. Benabdallah. 2014. Marine vertebrate faunas from the Maastrichtian phosphates of Benguérir (Ganntour Basin, Morocco): Biostratigraphy, palaeobiogeography and palaeoecology. Palaeogeography, Palaeoclimatology, Palaeoecology 409:217-238",3.00,TL,Polcyn et al. 2014,Denmark; Morocco,Macropredator,Benthic,Oceanic,"carnivore / Environment: terrestrial, Life habit: aquatic","Jesper Milàn, John W.M. Jagt, Johan Lindgren & Anne S. Schulp (2018) First record of Carinodens (Squamata, Mosasauridae) from the uppermost Maastrichtian of Stevns Klint, Denmark, Alcheringa: An Australasian Journal of Palaeontology, 42:4, 597-602, DOI: 10.1080/03115518.2017.1391878",,,"based on jaw length, or indirect estimates of jaw length using other preserved portions of the skull",NS,
Reptile,Squamata,Reptilia,Squamata,Carsosaurus marchesetti,species,Mesozoic,Cretaceous,Upper Cretaceous,Cenomanian,Cretaceous,Upper Cretaceous,Cenomanian,"M. W. Caldwell, R. L. Carroll, and H. Kaiser. 1995. The pectoral girdle and forelimb of Carsosaurus marchesetti (Aigialosauridae), with a preliminary phylogenetic analysis of mosasauroids and varanoids. Journal of Vertebrate Paleontology 15(3):516-531",2.00,TL,Polcyn et al. 2014,Slovenia,Macropredator,Pelagic,Coastal,Vertical and Habitat based on Family Aigialosauridae,"Kornhuber, A. (1893). Carsosaurus Marchesettii, a new fossil lacertilian from the Cretaceous formation of Karst near Komen, Dutchak, A. (2005). A review of the taxonomy and systematics of aigialosaurs. Netherlands Journal of Geosciences, 84(3), 221-229. doi:10.1017/S0016774600021004",,,portions of the vertebral column were compared with other specimens of similar sizebelonging to the same subfamily or clade and measurements were approximated.,NS,
Reptile,Nothosauroidea,Reptilia,Nothosauroidea,Ceresiosaurus calcagnii,species,Mesozoic,Triassic,Middle Triassic,Ladinian,Triassic,Middle Triassic,Ladinian,"O. Rieppel. 1998. The status of the sauropterygian reptile genera Ceresiosaurus, Lariosaurus, and Silvestrosaurus from the Middle Triassic of Europe. Fieldiana: Geology, new series 38:1-46; L. Via, J. F. Villalta, and M. Esteban Cerda. 1977. Paleontologia y paleoecolgia de los yacimientos fosiliferos del Muschelkalk superior entre Alcover y Mont-Ral (Montañas de Prades, Provincia de Tarragona). Cuadernos Geología Ibérica 4:247-256",2.30,TL,"Rieppel, 2019, Mesozoic Sea Dragons, Indiana University Press, Lariosaurs and Nothosaurs, p.143","Tarragona Spain, Alla Cascina Switzerland",Macropredator,Pelagic,Coastal,Vertical and Habitat based on Family Nothosauridae,"Strauss, Bob. ""Nothosaurus."" ThoughtCo, Aug. 25, 2020, thoughtco.com/nothosaurus-1091514.",,,,NS,
Reptile,Nothosauroidea,Reptilia,Nothosauroidea,Ceresiosaurus lanzi,species,Mesozoic,Cretaceous,Middle Triassic,Ladinian,Triassic,Middle Triassic,Ladinian,"E. Kuhn-Schnyder. 1962. Ein weiterer Schädel von Macrocnemus bassanii Nopcsa aus der anisischen Stufe der Trias des Monte San Giorgio (Kt. Tessin, Schweiz). Palaeontologische Zeitschrift 36:110-133",1.72,TL,"Rieppel, 2019, Mesozoic Sea Dragons, Indiana University Press, Lariosaurs and Nothosaurs, p.142",Alla Cascina Switzerland,Macropredator,Pelagic,Coastal,Vertical and Habitat based on Family Nothosauridae,"Strauss, Bob. ""Nothosaurus."" ThoughtCo, Aug. 25, 2020, thoughtco.com/nothosaurus-1091514.",,,,NS,
Reptile,Thalattosauria,Reptilia,Thalattosauria,Clarazia schinzi,species,Mesozoic,Cretaceous,Middle Triassic,Anisian,Triassic,Middle Triassic,Ladinian,"O. Rieppel. 1987. Clarazia and Hescheleria: A re-investigation of two problematic reptiles from the Middle Triassic of Monte San Giorgio (Switzerland). Palaeontographica, Abt. A, Palaeozoologie-Stratigraphie 195(4-6):101-129",1.00,TL,,Val Porina Switzerland,Macropredator,Pelagic,Coastal,Vertical and Habitat based on Family Thalattosauroidea,"Muller, Johannes (2005). ""The Anatomy of Askeptosaurus italicus from the Middle Triassic of Monte San Giorgio and the Interrelationships of Thalattosaurs (Reptilia, Diapsida)"". Canadian Journal of Earth Sciences. 42 (7): 1347–1367. Bibcode:2005CaJES..42.1347M. doi:10.1139/e05-030, Lawrence H. Tanner (2018). The Late Triassic World: Earth in a Time of Transition. Springer Nature. p. 291. ISBN 978-3-319-68008-8",,,From tip to tail: 90cm,NS,
Reptile,Squamata,Reptilia,Squamata,Clidastes liodontus,species,Mesozoic,Cretaceous,Upper Cretaceous,Santonian,Cretaceous,Upper Cretaceous,Santonian,Polcyn et al. 2014,4.00,TL,Polcyn et al. 2014,Colorado USA; South Carolina USA; Germany; Texas USA; France,Macropredator,Pelagic,Coastal,"carnivore / Environment: terrestria, Life habit: aquatic","R. L. Carroll. 1988. Vertebrate Paleontology and Evolution 1-698; A. Hendy, M. Aberhan, J. Alroy, M. Clapham, W. Kiessling, A. Lin, and M. LaFlamme. 2009. Unpublished ecological data in support of GSA 2009 abstract: A 600 million year record of ecological diversification.; P. Gervais. 1852. Zoologie et Paléontologie Françaises (Animaux Vertébrés) ou Nouvelles Recherches sur les Animaux Vivants et Fossiles de la France [French Zoology and Paleontology (Vertebrate Animals) or New Research on the Living and Fossil Animals of France] 1–3:1-274+",,,,NS,
Reptile,Squamata,Reptilia,Squamata,Clidastes moorevillensis,species,Mesozoic,Cretaceous,Upper Cretaceous,Santonian,Cretaceous,Upper Cretaceous,Campanian,"G. L. Bell. 1997. A phylogenetic revision of North American and Adriatic Mosasauroidea. In J. M. Callaway, E. L. Nicholls (eds.), Ancient marine reptiles 293-332",4.00,TL,Polcyn et al. 2014,Alabama USA,Macropredator,Pelagic,Coastal,carnivore,"R. L. Carroll. 1988. Vertebrate Paleontology and Evolution 1-698; A. Hendy, M. Aberhan, J. Alroy, M. Clapham, W. Kiessling, A. Lin, and M. LaFlamme. 2009. Unpublished ecological data in support of GSA 2009 abstract: A 600 million year record of ecological diversification.; P. Gervais. 1852. Zoologie et Paléontologie Françaises (Animaux Vertébrés) ou Nouvelles Recherches sur les Animaux Vivants et Fossiles de la France [French Zoology and Paleontology (Vertebrate Animals) or New Research on the Living and Fossil Animals of France] 1–3:1-274+",,,"based on jaw length, or indirect estimates of jaw length using other preserved portions of the skull",NS,
Reptile,Squamata,Reptilia,Squamata,Clidastes propython,species,Mesozoic,Cretaceous,Upper Cretaceous,Coniacian,Cretaceous,Upper Cretaceous,Maastrichtian," M. J. Everhart. 2005. Tylosaurus kansasensis, a new species of tylosaurine (Squamata, Mosasauridae) from the Niobrara Chalk of western Kansas, USA. Netherlands Journal of Geosciences — Geologie en Mijnbouw 84(3):231-240; E. D. Cope. 1869. On the reptilian orders Pythonomorpha and Streptosauria. Proceedings of the Boston Society of Natural History 12:250-266",5.00,TL,Polcyn et al. 2014,South Dakota USA; Kansas USA; Alabama USA; Götatal Sweden; Skane Sweden,Macropredator,Pelagic,Coastal,carnivore,"R. L. Carroll. 1988. Vertebrate Paleontology and Evolution 1-698; A. Hendy, M. Aberhan, J. Alroy, M. Clapham, W. Kiessling, A. Lin, and M. LaFlamme. 2009. Unpublished ecological data in support of GSA 2009 abstract: A 600 million year record of ecological diversification.; P. Gervais. 1852. Zoologie et Paléontologie Françaises (Animaux Vertébrés) ou Nouvelles Recherches sur les Animaux Vivants et Fossiles de la France [French Zoology and Paleontology (Vertebrate Animals) or New Research on the Living and Fossil Animals of France] 1–3:1-274+",,,"based on jaw length, or indirect estimates of jaw length using other preserved portions of the skull",NS,
Bird,Sphenisciformes,Aves,Sphenisciformes,Crossvallia unienwillia,species,Cenozoic,Paleogene,Paleocene,Selandian-Thanetian,Paleogene,Paleocene,Selandian-Thanetian,"C. P. Tambussi, M. A. Reguero, S. A. Marenssi and S. N. Santillana. 2005. Crossvallia unienwillia, a new Spheniscidae (Sphenisciformes, Aves) from the Late Paleocene of Antarctica. Geobios 38(5):667-675",1.43,TS,Tambussi et al. 2005,Antarctica,Macropredator,Pelagic,Coastal,carnivore,"A. M. Bush and R. K. Bambach. 2015. Sustained Mesozoic-Cenozoic diversification of marine Metazoa: a consistent signal from the fossil record. GSA Data Repository 2015330; M. J. Benton. 1983. Dinosaur success in the Triassic: a noncompetitive ecological model. Quarterly Review of Biology 58(1):29-55; O. C. Marsh. 1875. On the Odontornithes, or birds with teeth. American Journal of Science 10:403-410",,,According to Simpson’s suggestion the total size of the penguin is estimated to have been between 127.5 and 142.5 cm,TB,
Reptile,Placodontia,Reptilia,Placodontia,Cyamodus hildegradis,species,Mesozoic,Triassic,Middle Triassic,Anisian,Triassic,Middle Triassic,Ladinian,"O. Rieppel. 1989. A New Pachypleurosaur (Reptilia: Sauropterygia) from the Middle Triassic of Monte San Giorgio, Switzerland. Philosophical Transactions of the Royal Society of London, Series B, Biological Sciences 323(1212):1-73 ; E. Kuhn-Schnyder. 1962. Ein weiterer Schädel von Macrocnemus bassanii Nopcsa aus der anisischen Stufe der Trias des Monte San Giorgio (Kt. Tessin, Schweiz). Palaeontologische Zeitschrift 36:110-133",1.30,TL,"Rieppel, 2019, Mesozoic Sea Dragons, Indiana University Press, Helveticosaurus, Eusaurosphargis and the Placodonts, p.118","Besano Italy, Val Porina Switzerland",Macropredator,Pelagic,Coastal,duraphagous,"Torsten M. Scheyer, James M. Neenan, Silvio Renesto, Franco Saller, Hans Hagdorn, Heinz Furrer, Olivier Rieppel & Andrea Tintori (2012) Revised paleoecology of placodonts – with a comment on ‘The shallow marine placodont Cyamodus of the central European Germanic Basin: its evolution, paleobiogeography and paleoecology’ by C.G. Diedrich (Historical Biology, iFirst article, 2011, 1–19, doi: 10.1080/08912963.2011.575938), Titel anhand dieser DOI in Citavi-Projekt übernehmen Historical Biology, 24:3, 257-267, DOI: 10.1080/08912963.2011.621083 Titel anhand dieser DOI in Citavi-Projekt übernehmen",,,Entire skeleton,NS,
Reptile,Ichthyosauria,Reptilia,Ichthyosauria,Cymbospondylus buchseri,species,Mesozoic,Triassic,Middle Triassic,Anisian,Triassic,Middle Triassic,Anisian,"Rieppel, 2019, Mesozoic Sea Dragons, Indiana University Press, Ichthyosaurs, p.98-104",5.50,TL,"Rieppel, 2019, Mesozoic Sea Dragons, Indiana University Press, Ichthyosaurs, p.98-104",Monte San Giorgio Switzerland,Macropredator,Pelagic,Oceanic,Based on the Genus Cymbospondylus,W. Kiessling. 2004. Ecology opinions.,,,Estimated from half of the skeleton,NS,
Reptile,Ichthyosauria,Reptilia,Ichthyosauria,Cymbospondylus piscosus,species,Mesozoic,Triassic,Middle Triassic,Anisian,Triassic,Middle Triassic,Anisian,"Rieppel, 2019, Mesozoic Sea Dragons, Indiana University Press, Ichthyosaurs, p.98-101; J. Leidy. 1868. Notice of some reptilian remains from Nevada. Proceedings of the Academy of Natural Sciences of Philadelphia 109:177-178",9.10,TL,"Rieppel, 2019, Mesozoic Sea Dragons, Indiana University Press, Ichthyosaurs, p.98-101",Nevada,Macropredator,Pelagic,Oceanic,Based on the Genus Cymbospondylus,W. Kiessling. 2004. Ecology opinions.,,,Age given as: Illyrian in J. Leidy. 1868. Notice of some reptilian remains from Nevada. Proceedings of the Academy of Natural Sciences of Philadelphia 109:177-178,NS,
Reptile,Ichthyosauria,Reptilia,Ichthyosauria,Cymbospondylus youngorum,species,Mesozoic,Triassic,Middle Triassic,Anisian,Triassic,Middle Triassic,Anisian,Sander 2021,18.00,TL,Sander 2021,Nevada,Macropredator,Pelagic,Oceanic,Based on the Genus Cymbospondylus,,,,,NS,
Reptile,Squamata,Reptilia,Squamata,Dallasaurus turneri,species,Mesozoic,Triassic,Upper Cretaceous,Turonian,Cretaceous,Upper Cretaceous,Turonian,"G. L. Bell and M. J. Polcyn. 2005. Dallasaurus turneri, a new primitive mosasauroid from the Middle Turonian of Texas and comments on the phylogeny of Mosasauridae (Squamata). Netherlands Journal of Geosciences 84(3):177-194",1.00,TL,Polcyn et al. 2014,Texas USA,Macropredator,Pelagic,Coastal,carnivore,"R. L. Carroll. 1988. Vertebrate Paleontology and Evolution 1-698; A. Hendy, M. Aberhan, J. Alroy, M. Clapham, W. Kiessling, A. Lin, and M. LaFlamme. 2009. Unpublished ecological data in support of GSA 2009 abstract: A 600 million year record of ecological diversification.; P. Gervais. 1852. Zoologie et Paléontologie Françaises (Animaux Vertébrés) ou Nouvelles Recherches sur les Animaux Vivants et Fossiles de la France [French Zoology and Paleontology (Vertebrate Animals) or New Research on the Living and Fossil Animals of France] 1–3:1-274+",,,"portions of the vertebral column were compared with other specimens of similar sizebelonging to the same subfamily or clade and measurements were approximated.",NS,
Bird,Sphenisciformes,Aves ,Sphenisciformes,Delphinornis arctowskii,species,Cenozoic,Paleogene,Eocene,Priabonian,Paleogene,Eocene,Priabonian,"P. Jadwiszczak. 2008. An intriguing penguin bone from the Late Eocene of Seymour Island, Antarctic Peninsula. Antarctic Science 20(6):589-590",1.03,BL,Jadwiszczak 2001,Antarctica,Macropredator,Pelagic,Coastal,carnivore / Penguin,"A. M. Bush and R. K. Bambach. 2015. Sustained Mesozoic-Cenozoic diversification of marine Metazoa: a consistent signal from the fossil record. GSA Data Repository 2015330; M. J. Benton. 1983. Dinosaur success in the Triassic: a noncompetitive ecological model. Quarterly Review of Biology 58(1):29-55; O. C. Marsh. 1875. On the Odontornithes, or birds with teeth. American Journal of Science 10:403-423",,,,TB,
